country,year,suicides_no,population,gdp_for_year,gdp_per_capita,population_change,gdp_per_capita_change,15-24 years,25-34 years,35-54 years,5-14 years,55-74 years,75+ years,mean_age,female
Albania,2007,124,2770344,10701011897,3863,-9832,0.16256795236862542,0.20554450999587054,0.12854829580730767,0.2781015642822696,0.1910611101004063,0.16073094171698532,0.0360135780971605,35.901185917705526,0.502411252898557
Albania,2008,160,2757059,12881352688,4672,-13285,0.17315924657534246,0.20412149322883552,0.12894827422989497,0.2796280384279045,0.18452706307699618,0.16507445070997756,0.037700680326391275,36.313807575391024,0.5022282802072788
Albania,2009,0,2745735,12044212904,4387,-11324,-0.06496466833827216,0.20156752199320035,0.13026275296050055,0.2799436216532185,0.1781603104451085,0.170399546933699,0.03966624601427304,36.76590056942859,0.5018907505640566
Albania,2010,96,2736025,11926953259,4359,-9710,-0.006423491626519844,0.1984956277811789,0.13278350892261584,0.28004276276715306,0.16992096197951406,0.17665883900914647,0.042098299540391626,37.315731764146896,0.5013214426037774
Antigua and Barbuda,1985,0,62574,240923926,3850,NA,NA,0.24572506152715184,0.20037076101895357,0.19405823504970116,0.23401093105762777,0.10389299069901237,0.021942020647553295,30.61647009940231,0.5160609837951865
Antigua and Barbuda,1986,0,61270,290440148,4740,-1304,0.1877637130801688,0.24858821609270443,0.19964093357271095,0.19663783254447528,0.22415537783580872,0.10665905010608781,0.024318589848212828,31.05116696588869,0.5167781948751428
Antigua and Barbuda,1987,0,60261,337174852,5595,-1009,0.15281501340482573,0.2489835880586117,0.19903420122467266,0.19890144537926685,0.217752775426893,0.10846152569655333,0.026866464214002423,31.412439222714525,0.5174988798725544
Antigua and Barbuda,1988,0,59564,398637741,6693,-697,0.1640519946212461,0.2454838493049493,0.1992310791753408,0.2002551876972668,0.2162715734336176,0.10947887986031832,0.029279430528507153,31.665687327916192,0.5179470821301457
Antigua and Barbuda,1989,0,59238,438794778,7407,-326,0.09639530174159579,0.2376683885343867,0.2007832810020595,0.19971977446909078,0.21985887437118065,0.11038522569971977,0.03158445592356258,31.82256321955502,0.5181133731726256
Antigua and Barbuda,1990,1,59334,459469074,7744,96,0.04351756198347107,0.22626150267974518,0.20408197660700442,0.19708767317221154,0.22732328850237637,0.1113695351737621,0.03387602386490039,31.908349344389386,0.5178986752957832
Antigua and Barbuda,1991,0,60394,481706333,7976,1060,0.029087261785356068,0.21518693909991057,0.20783521541875022,0.20399377421598172,0.23027121899526443,0.1079908600192072,0.03472199225088585,31.992002516806306,0.517203695731364
Antigua and Barbuda,1992,0,61741,499281148,8087,1347,0.013725732657351305,0.203916360279231,0.21151260912521663,0.21105910173142645,0.23274647317017866,0.10526230543722971,0.035503150256717575,32.10864741419802,0.5158808571289742
Antigua and Barbuda,1993,1,63315,535172778,8453,1574,0.043298237312196855,0.19349285319434573,0.21451472794756377,0.21846323935876175,0.2341783147753297,0.1033088525625839,0.03604201216141514,32.256574271499645,0.5147279475637685
Antigua and Barbuda,1994,0,65044,589429593,9062,1729,0.06720370779077467,0.1853975770247832,0.21580776090031364,0.2262468482873132,0.23393395240145132,0.10223848471803702,0.036375376668101596,32.44004058790972,0.5144978783592645
Antigua and Barbuda,1995,0,66846,577280741,8636,1802,-0.04932839277443261,0.18029500643269605,0.21476228944140263,0.23426981419980253,0.23213056877000868,0.10216018909134428,0.03638213206474583,32.64510965502797,0.5155731083385693
Antigua and Barbuda,1998,0,72225,727860593,10078,5379,0.14308394522722762,0.17230875735548631,0.21635167878158532,0.2589269643475251,0.21999307718933886,0.09877466251298027,0.03364485981308411,33.06853582554517,0.5269089650398061
Antigua and Barbuda,1999,0,73832,766198926,10378,1607,0.028907303912121797,0.1684093617943439,0.21385036298623902,0.2688265250839744,0.21831996966085165,0.0981146386390725,0.03247914183551848,33.202270018420194,0.5303797811247156
Antigua and Barbuda,2000,2,75326,830158778,11021,1494,0.058343163052354596,0.1646045190239758,0.20938321429519688,0.2797573215091735,0.217879616599846,0.09716432573082336,0.03121100284098452,33.31007885723389,0.5322066749860606
Antigua and Barbuda,2001,2,76497,800740259,10468,1171,-0.05282766526557126,0.1697582911748173,0.20257003542622587,0.2834490241447377,0.2142044786070042,0.09776853994274286,0.03224963070447207,33.465691465024776,0.531798632626116
Antigua and Barbuda,2002,0,77588,814615333,10499,1091,0.0029526621583007904,0.17543950095375574,0.19430839820590812,0.28824044955405476,0.2112182296231376,0.09765685415270403,0.03313656751043976,33.585348249729336,0.5299273083466516
Antigua and Barbuda,2003,1,78658,855643111,10878,1070,0.034840963412391984,0.18032495105392968,0.18516870502682498,0.29400696686923133,0.2095654606015917,0.09723105087848662,0.033702865569935674,33.67229016756083,0.52726995346945
Antigua and Barbuda,2004,2,79722,919577148,11535,1064,0.05695708712613784,0.18333709641002482,0.17670153784400794,0.29976668924512684,0.209277238403452,0.09725044529740849,0.03366699279997993,33.733034795915806,0.5247861318080329
Antigua and Barbuda,2005,0,80809,1022191296,12649,1087,0.08807020317811684,0.1842987786013934,0.1704141865386281,0.304582410375082,0.20965486517590862,0.09782326226039179,0.03322649704859607,33.78392258288062,0.5229368015938819
Antigua and Barbuda,2006,0,81973,1157005444,14114,1164,0.10379764772566247,0.18470715967452697,0.16367584448537933,0.3120051724348261,0.20806851036316837,0.0988496212167421,0.03269369182535713,33.92952557549437,0.5218059604991887
Antigua and Barbuda,2007,1,83131,1311401333,15775,1158,0.10529318541996831,0.18456412168745714,0.15913437827044064,0.31745077047070286,0.20592799316741048,0.10090098759788767,0.032021748806101216,34.0902912270994,0.5215623533940408
Antigua and Barbuda,2008,0,84273,1368431037,16238,1142,0.028513363714743195,0.1840684442229421,0.15644393815338245,0.3210992844683351,0.20333914776974832,0.1037698907123278,0.03127929467326427,34.261329251361644,0.5219583971141409
Antigua and Barbuda,2009,0,85405,1224253000,14335,1132,-0.13275200558074643,0.1836894795386687,0.15504947017153561,0.3232480533926585,0.20037468532287336,0.10704291317838534,0.03059539839587846,34.433581172062524,0.522486973830572
Antigua and Barbuda,2012,0,88703,1211411704,13657,3298,-0.04964487076224647,0.18407494673235403,0.15607138428238052,0.32099252561920116,0.1902528663066638,0.11844018804324544,0.030168089016155034,34.973732568233316,0.5228797222190906
Antigua and Barbuda,2013,0,89779,1192925407,13287,1076,-0.027846767517122,0.18439724211675337,0.1579322558727542,0.3178694349458114,0.18665834994820615,0.12280154601855668,0.030341171097918222,35.1577206250905,0.522605509083416
Antigua and Barbuda,2014,0,90837,1280133333,14093,1058,0.05719151351734904,0.18434118255776832,0.15969263626055463,0.3148276583330581,0.18308618734656582,0.12756916234574017,0.030483173156312954,35.35877450818499,0.5224192784878409
Antigua and Barbuda,2015,1,91889,1364863037,14853,1052,0.05116811418568639,0.18383049113604458,0.16105300960942007,0.3122571798583073,0.1796406533970334,0.13262740915669993,0.03059125684249475,35.57721816539521,0.5222605534938893
Argentina,1985,1988,27090800,88416668900,3264,NA,NA,0.17605238678813473,0.16313287167599333,0.24737549278721926,0.2214552541822316,0.1587623842780575,0.033221610288363575,34.90487545587432,0.5053708269966187
Argentina,1986,2284,27244400,110934442763,4072,153600,0.19842829076620824,0.1760545286370777,0.16313444230740998,0.2473719369852153,0.2214510137863194,0.15876290173393431,0.03322517655004331,34.905099763621145,0.50537725183891
Argentina,1987,2286,27599400,111106191358,4026,355000,-0.011425732737208148,0.17605455191054878,0.16313398117350378,0.24737494293354204,0.22145408958165758,0.1587643209634992,0.033218113437248634,34.90474430603564,0.5053696819496076
Argentina,1988,2354,28308000,126206817196,4458,708600,0.09690444145356662,0.17602797795676134,0.15910696622862794,0.2476685036032217,0.22343507135792,0.1586477320898686,0.0351137487636004,34.96997315246574,0.5060053695068532
Argentina,1989,2247,28702000,76636898036,2670,394000,-0.6696629213483146,0.1771305135530625,0.15772420040415303,0.2482056999512229,0.22277193226952827,0.1585603790676608,0.03560727475437252,35.004355097205774,0.5062016584210159
Argentina,1990,2140,29091100,141352368715,4859,389100,0.45050421897509774,0.1788519512840697,0.1563364740418891,0.24890774154294612,0.22137354723609626,0.15829583618357504,0.03623444971142377,35.050874666135,0.5064091766897779
Argentina,1991,1951,29623000,189719984268,6404,531900,0.24125546533416614,0.18320224150153597,0.15484589676940216,0.2454511696992202,0.22435269891638254,0.1565675319852817,0.03558046112817743,34.799480133679914,0.5108530533706916
Argentina,1992,2184,30045400,228788617202,7615,422400,0.15902823374917927,0.18697038481764264,0.15427652818734316,0.24536534710804317,0.22128512184893528,0.156060495117389,0.036042122920646756,34.829508011209704,0.5112696119871927
Argentina,1993,2230,30477500,236741715015,7768,432100,0.019696189495365602,0.19068493150684931,0.15369042736444918,0.24584365515544254,0.21777704864244116,0.15551800508571897,0.03648593224509884,34.87512099089492,0.5113280288737593
Argentina,1994,2241,30911200,257440000000,8328,433700,0.06724303554274735,0.19405587618727194,0.15330689200031056,0.24635730738373146,0.21435272651983747,0.15495677941975725,0.036970418489091335,34.924606615078034,0.5113615776805818
Argentina,1995,2204,31345400,258031750000,8232,434200,-0.011661807580174927,0.196692337631678,0.1531899417458383,0.24685918827004918,0.21133563457477014,0.1544054310999381,0.037517466677726236,34.976902512011335,0.5113828504341945
Argentina,1996,2229,31780700,272149750000,8563,435300,0.038654677099147494,0.1985230029546234,0.15327856214620825,0.24736396618073234,0.20884373220224853,0.15385752988448964,0.03813320663169786,35.030694729820304,0.5114047204750053
Argentina,1997,2184,32333781,292859000000,9057,553081,0.05454344705752456,0.19667334915146484,0.15260949531389478,0.2479761955460761,0.20898313748089034,0.15218374863119163,0.041574073876482306,35.18625195735692,0.5124280083421113
Argentina,1998,2347,32757259,298948250000,9126,423478,0.007560815253122946,0.1967290975108754,0.1529185943182853,0.24831235116466857,0.207906223167207,0.1517648653081749,0.042368868530788854,35.24132788399664,0.5125336036204983
Argentina,1999,2423,33174862,283523000000,8546,417603,-0.06786800842499414,0.19620735724537453,0.15382240324014007,0.24854083793928064,0.20677623316112062,0.15158748814087003,0.0430656802732141,35.30468883337028,0.5126260359425158
Argentina,2000,2774,33585533,284203750000,8462,410671,-0.009926731269203497,0.195183920410017,0.15542516475769494,0.24863636971311429,0.20540236773970508,0.1516691427823998,0.043683034597068925,35.380645887025224,0.5127012574134227
Argentina,2001,3132,34010946,268696750000,7900,425413,-0.07113924050632911,0.19370593220194463,0.15775777010142558,0.24852816502075536,0.20380362251611583,0.15134192386180614,0.04486258629795243,35.47920028452017,0.5127260500193085
Argentina,2002,3162,34407507,97724004252,2840,396561,-1.7816901408450705,0.19168055389772937,0.16074524085688627,0.24842078794025965,0.20193392680265967,0.15133281815506133,0.04588667234740372,35.591243358607755,0.5127515050712625
Argentina,2003,3289,34785907,127586973492,3668,378400,0.2257360959651036,0.18942311896596514,0.1640019908062193,0.24836385608689174,0.19981554599108195,0.15165155820142912,0.04674392994841273,35.7136364160348,0.5127763090955196
Argentina,2004,3121,35162945,164657930453,4683,377038,0.21674140508221226,0.18737258781936497,0.16695726140117104,0.24841261162851974,0.1975461668526342,0.15230189052708754,0.04740948177122252,35.83962762504677,0.5127954726203963
Argentina,2005,3058,35550617,198737095012,5590,387672,0.16225402504472272,0.1857599827311014,0.16923382792484304,0.248581902249404,0.19528935320588106,0.15325390836395328,0.04788102552481719,35.962684838915735,0.5128068241403517
Argentina,2006,3108,35918886,232557260817,6475,368269,0.13667953667953667,0.1845582571798023,0.17092428757395203,0.24870484569037024,0.19319905968130527,0.15380950288937134,0.048804046985198815,36.088564105245354,0.5128402367489905
Argentina,2007,2946,36315492,287530508431,7918,396606,0.1822429906542056,0.1837772430564895,0.17197850438044457,0.24888593000474837,0.19124292739858792,0.1546381913261701,0.04947720383355952,36.2042408787963,0.5128460052255385
Argentina,2008,3059,36733520,361558037110,9843,418028,0.19557045616173932,0.18318769886468816,0.17239594789717946,0.2492735245628516,0.18951009867826443,0.1557001071500907,0.049932622846925644,36.312821913064695,0.5128294810843067
