country_year,suicides_no,population,gdp_for_year,country,year,15-24 years,25-34 years,35-54 years,5-14 years,55-74 years,75+ years,female
Croatia2006,796,4234946,50453577898,Croatia,2006,0.13607587912573146,0.14473360463155846,0.30312806822094074,0.11632781149983967,0.23011627539052446,0.06961836113140522,0.5198271713500007
Croatia2007,775,4230855,60093222709,Croatia,2007,0.13388735846536928,0.14561170259912004,0.30261542879630715,0.11445937050548885,0.23103911620700782,0.0723870234267069,0.5196020662490206
Croatia2008,NA,4225583,70481451449,Croatia,2008,0.13186961420471446,0.14658663668421612,0.3007992033288661,0.11229148735215945,0.23364302629956624,0.07481003213047761,0.519442405935465
Croatia2009,790,4216050,62703143057,Croatia,2009,0.1294254100402035,0.14764601937832805,0.2995683163150342,0.1103340804781727,0.23553159948292834,0.07749457430533319,0.5192592592592593
Croatia2010,776,4203963,59829574391,Croatia,2010,0.12714621893675088,0.14812689835757356,0.2972573735782166,0.10881946392011538,0.23875566935294149,0.07989437585440215,0.5190426271591829
Croatia2011,702,4189029,62375044443,Croatia,2011,0.12610320912077716,0.147655459057457,0.29564655675575413,0.10676650841997036,0.24171997854395375,0.08210828810208762,0.5189226429322882
Croatia2012,776,4054296,56565475275,Croatia,2012,0.12388833967722139,0.14249896899486372,0.29231264811449387,0.1052774637076326,0.24850331598876846,0.08751926351701997,0.5191900147399203
Croatia2013,692,4044457,58085856019,Croatia,2013,0.12310824419693422,0.1416679667999932,0.29099431641874296,0.10389355109969027,0.25051916734434315,0.08981675414029622,0.519098608292782
Croatia2014,722,4030452,57629518806,Croatia,2014,0.12195431182408326,0.14003020008673966,0.28950450222456436,0.10336235241109434,0.25333312491998417,0.091815508533534207,0.5190358302245008
Croatia2015,NA,4001669,49425513611,Croatia,2015,0.12091529809187117,0.1377467751580653,0.2877979163194157,0.1034898188730752,0.25627307006151684,0.09377712149605577,0.519129393260662
Croatia2016,683,3567043,51338524831,Croatia,2016,NA,NA,NA,NA,NA,NA,0.5227032586935453
Cuba1992,2299,9915600,22085858243,Cuba,1992,0.21440961716890555,0.2002299406995038,0.25462906934527413,0.158053975553673,0.13326475452821815,0.03941264270442535,0.49864859413449514
Cuba1993,2374,10004200,22367254865,Cuba,1993,0.2036144819175946,0.20725295375942104,0.25438315907318926,0.15955298774514703,0.13504328182163491,0.04015313568301313,0.49883049119369866
Cuba1994,2278,10089300,28448326757,Cuba,1994,0.19260999276461202,0.21293845955616347,0.25519114309218677,0.16132932909121545,0.1371552040280297,0.040775871467792615,0.49896424925416033
Cuba1995,2222,10168400,30429803651,Cuba,1995,0.18203453837378544,0.21673026238149562,0.25782817355729515,0.1625722827583494,0.13959915030879982,0.041235592620274576,0.4991149049998033
Cuba1996,2014,10241600,25017300000,Cuba,1996,0.17195555381971567,0.21854007186377128,0.2625468676769255,0.16307022340259333,0.14237033276050617,0.04151695047648805,0.4992579284486799
Cuba1997,2029,10260492,25366200000,Cuba,1997,0.1615433256027099,0.2193602412048077,0.2656312192436776,0.16546321560408603,0.14361884400864988,0.044383154336068875,0.49803108856768274
Cuba1998,2056,10307978,25736331247,Cuba,1998,0.15299508788241495,0.21652878964235275,0.2747056697249451,0.16506117882673013,0.14595151444832344,0.04475775947523365,0.4984413043954886
Cuba1999,2050,10350039,28364615242,Cuba,1999,0.14651751553786416,0.21218567388973122,0.28416714178564934,0.16357513242220634,0.14845973044159544,0.04509480592295353,0.4988129996418371
Cuba2000,1845,10397209,30565400000,Cuba,2000,0.14255142894597964,0.20641856867549743,0.293230327485001,0.16136849802673006,0.1510262994617113,0.045404877405080535,0.4990722029344606
Cuba2001,1652,10433428,31682400000,Cuba,2001,0.1410327459009637,0.19951189580260678,0.30194639767485815,0.15820322908252207,0.15310442550617112,0.04620130603287817,0.49917170080629303
Cuba2002,NA,10479415,33590500000,Cuba,2002,0.14192748354750717,0.191339020355621,0.31021846162214206,0.15440098516949657,0.15520398800887264,0.04691006129636053,0.4991896971348114
Cuba2003,1499,10531074,35901200000,Cuba,2003,0.14432858415010663,0.18231388365517134,0.31793917695384155,0.1503803885529624,0.15748089890926603,0.04755706777865202,0.49915678116021217
Cuba2004,1515,10578701,38203000000,Cuba,2004,0.14682927516336836,0.1730312634793251,0.32511676055500577,0.14665354470270026,0.16021069127485502,0.0481584648247455,0.4991249870848982
Cuba2005,1397,10616406,42643836075,Cuba,2005,0.14853491850255163,0.16399890885860996,0.3317800769865056,0.14336744468890886,0.16357390627298918,0.048744744690434785,0.4991353947842613
Cuba2006,1376,10653638,52742800000,Cuba,2006,0.1498257215047104,0.15537753394661993,0.33772998481833155,0.1398070781079665,0.16700783338048467,0.05025184824188695,0.4992627870404457
Cuba2007,1307,10678023,58603900000,Cuba,2007,0.15046483791990334,0.1469981849636398,0.34308513851300004,0.1365009234387302,0.17126513025866305,0.051685784906063605,0.4993817675800099
Cuba2008,1377,10693814,60806300000,Cuba,2008,0.1503818001697056,0.13949363622744887,0.34768474559217133,0.1333642047636138,0.1759610743182928,0.0531145389287676,0.4994962508231394
Cuba2009,1477,10708230,62080000000,Cuba,2009,0.1496060506731738,0.13378532213073496,0.3512944716353683,0.13021003471161902,0.18047483104117112,0.054629289807932774,0.49961095344422
Cuba2010,1558,10725848,64328000000,Cuba,2010,0.14812460515942422,0.1304231609472743,0.35369016976559803,0.12702053954148892,0.18444760731272716,0.05629391727348737,0.4997389483796526
Cuba2011,1529,10748034,68990000000,Cuba,2011,0.14607601725115496,0.12968539176560104,0.35475678621783296,0.12419796960076605,0.18708714542585184,0.05819668973879316,0.4999008190707249
Cuba2012,1495,10770535,73141000000,Cuba,2012,0.14317403917261307,0.13137898906600276,0.3547477446570667,0.12136453760189257,0.18921659880405198,0.06011809069837292,0.5000384846249513
Cuba2013,1499,10792690,77148000000,Cuba,2013,0.13973448695366958,0.13458683608998312,0.3534596101620634,0.11865243975320333,0.19151870386344833,0.06204792317763227,0.5001627027182287
Cuba2014,1453,10813411,80656100000,Cuba,2014,0.13625534070609172,0.13787018730722433,0.35063006483338144,0.11623825266606438,0.19504576308067825,0.06396039140655987,0.5002765547337469
